# Traffic Generation Log - Sun 13 Jul 2025 05:26:52 PM UTC
# Format: timestamp,test_type,src_host,dst_host,result
2025-07-13 17:31:10,throughput,h1,h4,48Mbps_OK
2025-07-13 17:31:12,throughput,h1,h5,87Mbps_OK
2025-07-13 17:31:14,throughput,h2,h6,90Mbps_OK
2025-07-13 17:31:16,throughput,h3,h4,79Mbps_OK
2025-07-13 17:31:23,latency,h1,h3,19ms_OK
2025-07-13 17:31:24,latency,h1,h5,10ms_OK
2025-07-13 17:31:25,latency,h2,h6,55ms_VIOLATED
2025-07-13 17:31:31,packet_loss,h1,h4,2.34%_VIOLATED
2025-07-13 17:31:32,packet_loss,h2,h5,2.58%_VIOLATED
2025-07-13 17:31:33,packet_loss,h3,h6,2.88%_VIOLATED
2025-07-13 17:31:44,ping,h1,h3,FAIL
2025-07-13 17:31:50,ping,h1,h4,FAIL
2025-07-13 17:31:54,ping,h1,h5,FAIL
2025-07-13 17:31:59,ping,h1,h6,FAIL
2025-07-13 17:32:04,ping,h2,h3,FAIL
2025-07-13 17:32:10,ping,h2,h4,FAIL
2025-07-13 17:32:15,ping,h2,h5,FAIL
2025-07-13 17:32:20,ping,h2,h6,FAIL
2025-07-13 17:32:24,ping,h3,h5,FAIL
2025-07-13 17:32:29,ping,h3,h6,FAIL
2025-07-13 17:32:34,ping,h4,h5,FAIL
2025-07-13 17:32:39,ping,h4,h6,FAIL
2025-07-13 17:32:45,throughput,h1,h4,26Mbps_OK
2025-07-13 17:32:47,throughput,h1,h5,91Mbps_OK
2025-07-13 17:32:49,throughput,h2,h6,37Mbps_OK
2025-07-13 17:32:51,throughput,h3,h4,47Mbps_OK
2025-07-13 17:32:58,latency,h1,h3,55ms_VIOLATED
2025-07-13 17:32:59,latency,h1,h5,26ms_OK
2025-07-13 17:33:00,latency,h2,h6,63ms_VIOLATED
2025-07-13 17:33:06,packet_loss,h1,h4,.03%_OK
2025-07-13 17:33:07,packet_loss,h2,h5,1.29%_VIOLATED
2025-07-13 17:33:08,packet_loss,h3,h6,1.35%_VIOLATED
2025-07-13 17:33:20,ping,h1,h3,FAIL
2025-07-13 17:33:25,ping,h1,h4,FAIL
2025-07-13 17:33:30,ping,h1,h5,FAIL
2025-07-13 17:33:35,ping,h1,h6,FAIL
2025-07-13 17:33:40,ping,h2,h3,FAIL
2025-07-13 17:33:45,ping,h2,h4,FAIL
2025-07-13 17:33:50,ping,h2,h5,FAIL
2025-07-13 17:33:55,ping,h2,h6,FAIL
2025-07-13 17:34:00,ping,h3,h5,FAIL
2025-07-13 17:34:05,ping,h3,h6,FAIL
2025-07-13 17:34:10,ping,h4,h5,FAIL
2025-07-13 17:34:15,ping,h4,h6,FAIL
2025-07-13 17:34:21,throughput,h1,h4,94Mbps_OK
2025-07-13 17:34:23,throughput,h1,h5,56Mbps_OK
2025-07-13 17:34:25,throughput,h2,h6,55Mbps_OK
2025-07-13 17:34:27,throughput,h3,h4,80Mbps_OK
2025-07-13 17:34:34,latency,h1,h3,51ms_VIOLATED
2025-07-13 17:34:35,latency,h1,h5,7ms_OK
2025-07-13 17:34:36,latency,h2,h6,15ms_OK
2025-07-13 17:34:42,packet_loss,h1,h4,1.35%_VIOLATED
2025-07-13 17:34:43,packet_loss,h2,h5,.18%_OK
2025-07-13 17:34:44,packet_loss,h3,h6,2.64%_VIOLATED
2025-07-13 17:34:56,ping,h1,h3,FAIL
2025-07-13 17:35:01,ping,h1,h4,FAIL
2025-07-13 17:35:06,ping,h1,h5,FAIL
2025-07-13 17:35:11,ping,h1,h6,FAIL
2025-07-13 17:35:16,ping,h2,h3,FAIL
2025-07-13 17:35:21,ping,h2,h4,FAIL
2025-07-13 17:35:26,ping,h2,h5,FAIL
2025-07-13 17:35:31,ping,h2,h6,FAIL
2025-07-13 17:35:36,ping,h3,h5,FAIL
2025-07-13 17:35:41,ping,h3,h6,FAIL
2025-07-13 17:35:46,ping,h4,h5,FAIL
2025-07-13 17:35:51,ping,h4,h6,FAIL
2025-07-13 17:35:57,throughput,h1,h4,81Mbps_OK
2025-07-13 17:35:59,throughput,h1,h5,80Mbps_OK
2025-07-13 17:36:01,throughput,h2,h6,89Mbps_OK
2025-07-13 17:36:03,throughput,h3,h4,84Mbps_OK
2025-07-13 17:36:10,latency,h1,h3,22ms_OK
2025-07-13 17:36:11,latency,h1,h5,54ms_VIOLATED
2025-07-13 17:36:12,latency,h2,h6,58ms_VIOLATED
2025-07-13 17:36:18,packet_loss,h1,h4,.81%_OK
2025-07-13 17:36:19,packet_loss,h2,h5,.99%_OK
2025-07-13 17:36:20,packet_loss,h3,h6,2.46%_VIOLATED
2025-07-13 17:36:31,ping,h1,h3,FAIL
2025-07-13 17:36:37,ping,h1,h4,FAIL
2025-07-13 17:36:42,ping,h1,h5,FAIL
2025-07-13 17:36:47,ping,h1,h6,FAIL
2025-07-13 17:36:52,ping,h2,h3,FAIL
2025-07-13 17:36:57,ping,h2,h4,FAIL
2025-07-13 17:37:02,ping,h2,h5,FAIL
2025-07-13 17:37:07,ping,h2,h6,FAIL
2025-07-13 17:37:12,ping,h3,h5,FAIL
2025-07-13 17:37:17,ping,h3,h6,FAIL
2025-07-13 17:37:22,ping,h4,h5,FAIL
2025-07-13 17:37:26,ping,h4,h6,FAIL
2025-07-13 17:37:32,throughput,h1,h4,69Mbps_OK
2025-07-13 17:37:34,throughput,h1,h5,44Mbps_OK
2025-07-13 17:37:36,throughput,h2,h6,90Mbps_OK
2025-07-13 17:37:38,throughput,h3,h4,24Mbps_OK
2025-07-13 17:37:45,latency,h1,h3,58ms_VIOLATED
2025-07-13 17:37:46,latency,h1,h5,20ms_OK
2025-07-13 17:37:47,latency,h2,h6,64ms_VIOLATED
2025-07-13 17:37:53,packet_loss,h1,h4,.39%_OK
2025-07-13 17:37:54,packet_loss,h2,h5,.96%_OK
2025-07-13 17:37:56,packet_loss,h3,h6,.90%_OK
2025-07-13 17:38:07,ping,h1,h3,FAIL
2025-07-13 17:38:12,ping,h1,h4,FAIL
2025-07-13 17:38:17,ping,h1,h5,FAIL
2025-07-13 17:38:22,ping,h1,h6,FAIL
2025-07-13 17:38:27,ping,h2,h3,FAIL
2025-07-13 17:38:32,ping,h2,h4,FAIL
2025-07-13 17:38:37,ping,h2,h5,FAIL
2025-07-13 17:38:43,ping,h2,h6,FAIL
2025-07-13 17:38:47,ping,h3,h5,FAIL
2025-07-13 17:38:52,ping,h3,h6,FAIL
2025-07-13 17:38:57,ping,h4,h5,FAIL
2025-07-13 17:39:02,ping,h4,h6,FAIL
2025-07-13 17:39:08,throughput,h1,h4,71Mbps_OK
2025-07-13 17:39:10,throughput,h1,h5,69Mbps_OK
2025-07-13 17:39:12,throughput,h2,h6,62Mbps_OK
2025-07-13 17:39:14,throughput,h3,h4,27Mbps_OK
2025-07-13 17:39:21,latency,h1,h3,37ms_OK
2025-07-13 17:39:22,latency,h1,h5,23ms_OK
2025-07-13 17:39:23,latency,h2,h6,16ms_OK
2025-07-13 17:39:29,packet_loss,h1,h4,2.34%_VIOLATED
2025-07-13 17:39:30,packet_loss,h2,h5,1.20%_VIOLATED
2025-07-13 17:39:31,packet_loss,h3,h6,.63%_OK
2025-07-13 17:39:43,ping,h1,h3,FAIL
2025-07-13 17:39:48,ping,h1,h4,FAIL
2025-07-13 17:39:53,ping,h1,h5,FAIL
2025-07-13 17:39:58,ping,h1,h6,FAIL
2025-07-13 17:40:03,ping,h2,h3,FAIL
2025-07-13 17:40:08,ping,h2,h4,FAIL
2025-07-13 17:40:13,ping,h2,h5,FAIL
2025-07-13 17:40:18,ping,h2,h6,FAIL
2025-07-13 17:40:23,ping,h3,h5,FAIL
2025-07-13 17:40:28,ping,h3,h6,FAIL
2025-07-13 17:40:33,ping,h4,h5,FAIL
2025-07-13 17:40:38,ping,h4,h6,FAIL
2025-07-13 17:40:44,throughput,h1,h4,52Mbps_OK
2025-07-13 17:40:46,throughput,h1,h5,22Mbps_OK
2025-07-13 17:40:48,throughput,h2,h6,91Mbps_OK
2025-07-13 17:40:50,throughput,h3,h4,54Mbps_OK
2025-07-13 17:40:57,latency,h1,h3,11ms_OK
2025-07-13 17:40:58,latency,h1,h5,14ms_OK
2025-07-13 17:40:59,latency,h2,h6,36ms_OK
2025-07-13 17:41:05,packet_loss,h1,h4,2.76%_VIOLATED
2025-07-13 17:41:06,packet_loss,h2,h5,2.19%_VIOLATED
2025-07-13 17:41:07,packet_loss,h3,h6,2.22%_VIOLATED
2025-07-13 17:41:18,ping,h1,h3,FAIL
2025-07-13 17:41:24,ping,h1,h4,FAIL
2025-07-13 17:41:28,ping,h1,h5,FAIL
2025-07-13 17:41:33,ping,h1,h6,FAIL
2025-07-13 17:41:38,ping,h2,h3,FAIL
2025-07-13 17:41:44,ping,h2,h4,FAIL
2025-07-13 17:41:48,ping,h2,h5,FAIL
2025-07-13 17:41:53,ping,h2,h6,FAIL
2025-07-13 17:41:58,ping,h3,h5,FAIL
2025-07-13 17:42:03,ping,h3,h6,FAIL
2025-07-13 17:42:09,ping,h4,h5,FAIL
2025-07-13 17:42:14,ping,h4,h6,FAIL
2025-07-13 17:42:20,throughput,h1,h4,97Mbps_OK
2025-07-13 17:42:22,throughput,h1,h5,34Mbps_OK
2025-07-13 17:42:24,throughput,h2,h6,32Mbps_OK
2025-07-13 17:42:26,throughput,h3,h4,82Mbps_OK
2025-07-13 17:42:33,latency,h1,h3,33ms_OK
2025-07-13 17:42:34,latency,h1,h5,19ms_OK
2025-07-13 17:42:35,latency,h2,h6,10ms_OK
2025-07-13 17:42:41,packet_loss,h1,h4,1.38%_VIOLATED
2025-07-13 17:42:42,packet_loss,h2,h5,1.77%_VIOLATED
2025-07-13 17:42:43,packet_loss,h3,h6,.99%_OK
2025-07-13 17:42:49,stress,h2,h6,stable
2025-07-13 17:42:49,stress,h1,h6,degraded
2025-07-13 17:42:50,stress,h3,h6,degraded
2025-07-13 17:42:50,stress,h2,h4,degraded
2025-07-13 17:42:51,stress,h1,h4,degraded
